Time,Gyro_p1_01,Gyro_p1_02
0.000,0.000,0.000,
0.025,0.000,0.000,
0.050,0.000,0.000,
0.075,0.000,-3.000,
0.100,0.000,-13.000,
0.125,0.000,-27.000,
0.150,-1.000,-30.000,
0.175,-2.000,-43.000,
0.200,-3.000,-57.000,
0.225,-5.000,-56.000,
0.250,-6.000,-62.000,
0.275,-8.000,-74.000,
0.300,-10.000,-77.000,
0.325,-12.000,-84.000,
0.350,-14.000,-87.000,
0.375,-16.000,-86.000,
0.400,-19.000,-79.000,
0.425,-20.000,-77.000,
0.450,-22.000,-71.000,
0.475,-24.000,-66.000,
0.500,-26.000,-53.000,
0.525,-27.000,-44.000,
0.550,-28.000,-30.000,
0.575,-28.000,-25.000,
0.600,-29.000,-12.000,
0.625,-29.000,1.000,
0.650,-29.000,17.000,
0.675,-28.000,26.000,
0.700,-27.000,31.000,
0.725,-26.000,43.000,
0.750,-25.000,51.000,
0.775,-24.000,57.000,
0.800,-23.000,63.000,
0.825,-21.000,67.000,
0.850,-19.000,70.000,
0.875,-17.000,72.000,
0.900,-15.000,72.000,
0.925,-14.000,72.000,
0.950,-12.000,70.000,
0.975,-10.000,64.000,
1.000,-8.000,58.000,
1.025,-7.000,51.000,
1.050,-6.000,44.000,
1.075,-5.000,36.000,
1.100,-4.000,26.000,
1.125,-4.000,10.000,
1.150,-3.000,3.000,
1.175,-4.000,-6.000,
1.200,-4.000,-17.000,
1.225,-4.000,-27.000,
1.250,-5.000,-42.000,
1.275,-6.000,-49.000,
1.300,-8.000,-57.000,
1.325,-9.000,-63.000,
1.350,-11.000,-70.000,
1.375,-13.000,-77.000,
1.400,-15.000,-74.000,
1.425,-17.000,-76.000,
1.450,-19.000,-73.000,
1.475,-20.000,-66.000,
1.500,-22.000,-60.000,
